text,video_title,video_id,likes
پرسپولیس❤❤❤❤❤❤,دخالت هوادار متمول در پرسپولیس؛ از کنار گذاشتن یحیی تا تنش د,inQUlzij3IE,2
سروش بجای رفتن و خوشگذرانی در دبی کمی برای آرامش تیم وقت بذاره نه اینکه همبازی باعث درگیری و جنجال با همبازیهاش باشه .,دخالت هوادار متمول در پرسپولیس؛ از کنار گذاشتن یحیی تا تنش د,inQUlzij3IE,0
سرانجام یکی از نوچه های درویش جایش را خواهد گرفت و پروین هم صاحب‌نظر خواهدبود,دخالت هوادار متمول در پرسپولیس؛ از کنار گذاشتن یحیی تا تنش د,inQUlzij3IE,0
ارانوف مسدود اف,دخالت هوادار متمول در پرسپولیس؛ از کنار گذاشتن یحیی تا تنش د,inQUlzij3IE,0
پیروزی حالا حالاها رفت حاشیه ببینید,دخالت هوادار متمول در پرسپولیس؛ از کنار گذاشتن یحیی تا تنش د,inQUlzij3IE,0
جانم همه هوادارای باغیرت پرسپولیس ❤️😍,جشن هواداران پرسپولیس در بهبهان پس از دربی ۱۰۰ ⚽🏆💃🕺🎉🎤,0Wt19EREE_A,0
❤️👑❤️👑❤️👑❤️👑❤️👑❤️ تبریک به هوادارای خونگرم بهبهان، تبریک به همه پرسپولیسیای ایران ❤️👑❤️👑❤️👑❤️👑❤️👑❤️,جشن هواداران پرسپولیس در بهبهان پس از دربی ۱۰۰ ⚽🏆💃🕺🎉🎤,0Wt19EREE_A,1
پرسپولیس عشق ❤❤❤❤❤❤ پرسپولیس سرور و سالار ❤❤❤❤❤❤ پرسپولیس همیشه قهرمان ❤️❤️❤️❤️❤️❤️,جشن هواداران پرسپولیس در بهبهان پس از دربی ۱۰۰ ⚽🏆💃🕺🎉🎤,0Wt19EREE_A,1
زنده باد پرسپولیس ولی دختر آبی؟,جشن هواداران پرسپولیس در بهبهان پس از دربی ۱۰۰ ⚽🏆💃🕺🎉🎤,0Wt19EREE_A,0
ارتش سرخ اسیا❤💚,جشن هواداران پرسپولیس در بهبهان پس از دربی ۱۰۰ ⚽🏆💃🕺🎉🎤,0Wt19EREE_A,1
