text,label,source,reason
استقلال نیمکتش خالی از بازیکن تعویضی هستش ولی این بازی از جون و دل بازی کردن .,0,youtube_real,real_gold_critique
خدایی من آخر متوجه نشدم این بازیکن های حکومتی( آفساید پولیس) در جواب هوادار میگن ما ۴۰ ملیون هوادار داریم..🤔😃بعد موقعه مسابقه ۵۰۰۰ تا نمیان تو استادیوم...😅 بقیه اون ۴۰ ملیون کجان؟؟؟؟؟,0,youtube_real,real_gold_critique
معمولن ( حسین اتوبوسی) این مدل صحنه که روی حریف انجام میده یادش نمیاد🤔😅ولی خدا نکنه بازیکن مقابل روی حسین اتوبوسی یک برخورد انجام بشه اون مدل رو یادش میاد😅 فکر کنم الان ازش بپرسی( دختر بردی تو اتوبوس تیم ملی...😊) بازهم یادش نیاد.....,0,youtube_real,real_gold_sarcasm
همش دروغ میگه تارتار بااین همه دلالی حریف تاج نیستن😂,0,youtube_real,real_gold_sarcasm
آخر بازی تارتار اومده داره ننه من غریبم درمیاره . سرگیف و از زمین کشید بیرون مطمئن بودم مساوی میشه,0,youtube_real,real_gold_sarcasm
بیچاره ها اینقد نبردن،،، شده ارزو براشون،،، پیر شدن در ارزوی برد ن،،، 😂😂😂😂,0,youtube_real,real_gold_sarcasm
درود سپاس ، دربی خوبی بود ولی حرکت کنعانی اخراج داشت ولی داور به حساب خودش مدیریت کرد💙💙💙💙,0,youtube_real,real_gold_critique
سلام داداش خسته نباشی مثل همیشه عالی ❤❤❤ ‏‪7:07‬‏,0,youtube_real,real_gold_normal
چقد قشنگ محرمی صورت قندلی رو با مشت له کرد😂😂😂😂,0,youtube_real,real_gold_normal
ما تو استادیوم از دست نیروها کتک خوردیم بعد میگه خیلی خوب امنیت رو برقرار کردیم,0,youtube_real,real_gold_complaint
بعدش بازی های تیم ملی پیش اومد و دیدن تیم ملی خیلی خوبه ولی دروازه بان ندارن. عابدزاده رو بخشیدن . و گفتن جونه حالا یه اتفاقی افتاده 😂😂😂😂😂😂😂😂,0,youtube_real,real_gold_critique
پروژه ی از بین بردن اتحاد میان مردم از همون سالها شروع شد,0,youtube_real,real_gold_critique
همه محرومیت ها هم بخشیده شد، و بی اعتباری کمیته انضباطی و تصمیم گیرندگان را نشان می داد,0,youtube_real,real_gold_critique
قدیم دربی همش جنگ و دعوا بود، از یه هفته جلوتر کل کلها شروع میشد، اینقدر حساس بود که یه مدت داور خارجی میاوردن.,0,youtube_real,real_gold_normal
واقعا تواون شرایط درود ب شرفت غلامپور,0,youtube_real,real_gold_normal
دیگه مانند احمدرضا عابدزاده دروازه بانی مطمئن و با انرژی و باابهت برای تیم ملی و استقلال و پرسپولیس نمی آید،مثل افسانه هاست پنالتی گرفتن هاش برای آیندگان که ازش یاد خواهند کرد و اسطوره و عقاب آسیا برازنده ایشون هست،خدا حفظش کنه،برای سربلندی نام ایران زحمت زیادی کشید...عاشقتم و دوستت دارم جناب عابدزاده عزیز و خنده های زیبایت همیشه در اذهان خواهد ماند.,0,youtube_real,real_gold_critique
پوفیوزتر از این مصطفوی ندیدم من,0,youtube_real,real_gold_critique
من پرسپولیسی هستم ولی دم غلامپور گرم که گفت گل شده..با شرف دروازه بان❤,0,youtube_real,real_gold_normal
کاش همون موقع فوتبال رو برای همیشه در ایران جمع میکردند,0,youtube_real,real_gold_critique
ای خدا یادم نمیره این بازیو چقد استرس گرفته بودم یادمه من و داداشم باهم دعوا افتاده بودیم اون پرسپولیسی بود و من استقلالی😂,0,youtube_real,real_gold_normal
این مصطفوی خیلی باحال بود هر کاری دوست داشت می‌کرد یادمه ته تیم آبادانی رو از دست دو آورد به لیگ برتر 😁,0,youtube_real,real_gold_normal
6:14 مصطفوی اینقدر گاو و نفهمه که نمیدونه تو فوتبال واسه ضربه زدن قبل از سوت داور نمیشه قرمز مستقیم داد,1,youtube_real,real_gold_insult
چقدر بازیکنان غیر حرفه ای داشتیم...یه عده بچه محل دور هم نشسته بودن دور سفره فوتبال میخوردن,0,youtube_real,real_gold_critique
این ابهران چنتا بازی ازش یادمه کلا داور داغونی بود,0,youtube_real,real_gold_critique
انصافا عابدینی عجب مدیری بود هنوز نداریم رو دستش,0,youtube_real,real_gold_normal
قشنگ برنامه ریزی فدراسیون بود،وگرنه تماشاچی از تو طرفدارهای پرسپولیس میاد عابدزاده،که محبوب ترین بازیکن پرسپولیس بود ،بزنه,0,youtube_real,real_gold_critique
از کیفیت داغون زمین بازی میشه فهمید که چ بر سر ایران بعد از انقلاب و متعاقبن ایران بعد از جنگ اومده بوده ها 😢,0,youtube_real,real_gold_critique
وای یعنی چقد ما سنمون رفته بالا😢 اینجا من یه جوان ۱۶ساله بودم چ زود دیر میشه هنوز هم پرچم که این بازی دستم بود رو نگه داشتم یادش بخیر,0,youtube_real,real_gold_normal
داخل اون شلوار ها تانک هم جا میشد ،چاقو که چیزی نیست,0,youtube_real,real_gold_sarcasm
فقط چمنا ازش خاک بلند میشه و الله العان بهترین ورزشگاها را داریم.,0,youtube_real,real_gold_sarcasm
خخخح بازی بهم ریخته چرا نتیجه اش شده ۳به ۰ نفع استقلال 😅😅😅😅😅😅 عجب خرتوخری بوده,0,youtube_real,real_gold_sarcasm
یادآوری خاطرات گذشته چه زود این همه سال گذشت!,0,youtube_real,real_gold_normal
قلعه نوعی فوش داد،مجتبی محرمی هم زد ترکوندش،من خودم یادش بخیر ورزشگاه بودم،دلم برای قلعه نوعی سوخت هرچند گنده گوزی کرد و کتکش رو هم خورد😂,0,youtube_real,real_gold_normal
اون زمان تلویزیون موقع اذان بازی رو قطع میکرد نشون نمیدان همون تایم کوتاه استقلال دوتازد بازی دو دو شد,0,youtube_real,real_gold_normal
یادش بخیر من اون موقع سیزده سالم بود,0,youtube_real,real_gold_normal
نسل اون زمان رو از نظره میزان انرژی و شور و هیجان و ترشح هورمون تستوسترون... به هییچ عنوان نمیشه با نسل الآن مقایسه کرد ! شاید حرفی که زدم خنده‌دار به نظر برسه... ولی باوررکنید عین حقیقـته 👌🏻 با وجوده اینکه امکانات اون نسل یک هزارم الآن هم نبود !,0,youtube_real,real_gold_normal
محله راه پیما.... مجتبی یکی یدونه،،، چپ تکنیکی جنوب شهر,0,youtube_real,real_gold_normal
میدونستید قبلا ورزشگاه نصف نصف نبود؟یعنی جایگاه روبرو تقریبا تا نقطه کرنر سمت راست مال پرسپولیسا بود.بعدها استقلال زمان فتح الله زاده موفق شد نصف نصف کنه ورزشگاه رو😂حتی به گفته مرحوم صدر امجدیه هم ۷۰ درصدش پرسپولیسی بوده زمان دربی های اونموقع,0,youtube_real,real_gold_normal
دایی تو ترکیب بود که؟؟؟؟,0,youtube_real,real_gold_sarcasm
صحبت های داور باحال بود😅😅😅,0,youtube_real,real_gold_normal
درود به شما دوست عزیز که خاطرات رو زنده کردید واقعا لذت بردم یادش بخیر🙏🙏🙏🙏,0,youtube_real,real_gold_normal
تحلیل عابدینی و دید فراورزشی ایشون قطعا دقیقہ،دربی ھای بعدی مساوی خودش بیانگر دخالت فراورزشی ھاست۰,0,youtube_real,real_gold_critique
اون روزها با هر سوتی بازیکن ها می‌دویدند سمت داور اعتراض میکردن الان دیگه جرات این کار رو ندارن,0,youtube_real,real_gold_critique
امیر قلعه‌نویی شر شروع کرد ولی ۶ماه محروم شد مجتبی محرمی فش شنید ۳سال هم محروم شد واقعا از اول فدراسیون طویله بوده😂😅,0,youtube_real,real_gold_critique
کاش فوتبال ایران مث قبل دلی باشه. نکه که حالا همو آشولاش کنن.ولی واقعا تعصب تیمشونو میکشیدن.,0,youtube_real,real_gold_critique
